datetime,plant_id,inverter_id,string_id,daily_energy_yield_ac,daily_energy_yield_dc,string_energy_yield_dc,capacity_utilization_factor_ac,capacity_utilization_factor_dc,performance_ratio_ac,performance_ratio_dc,daily_specific_yield_ac,daily_specific_yield_dc,irradiance,temperature,wind_speed,fault_type
2024-07-08 05:15:07.770123,PLANT_001,INV_001,STR_001_01,61.28,57.99,7.81,51.07,48.32,41.15,39.41,1.23,1.16,4.37,35.1,0.1,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_001,STR_001_02,61.28,57.99,6.09,51.07,48.32,41.15,39.41,1.23,1.16,2.79,19.7,1.1,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_001,STR_001_03,61.28,57.99,2.02,51.07,48.32,41.15,39.41,1.23,1.16,3.12,34.5,2.8,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_001,STR_001_04,61.28,57.99,6.39,51.07,48.32,41.15,39.41,1.23,1.16,3.34,17.6,1.8,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_001,STR_001_05,61.28,57.99,5.99,51.07,48.32,25.423220382102276,24.348216652701108,1.23,1.16,3.79,31.0,2.7,performance_degradation
2024-07-08 05:15:07.770123,PLANT_001,INV_001,STR_001_06,61.28,57.99,7.49,51.07,48.32,41.15,39.41,1.23,1.16,2.76,19.8,0.2,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_001,STR_001_07,61.28,57.99,6.05,51.07,48.32,41.15,39.41,1.23,1.16,2.54,34.5,3.5,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_001,STR_001_08,61.28,57.99,5.21,51.07,48.32,41.15,39.41,1.23,1.16,3.73,23.4,0.1,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_002,STR_002_01,62.16,56.97,7.56,51.8,47.47,44.27,40.45,1.24,1.14,5.01,33.8,0.3,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_002,STR_002_02,62.16,56.97,5.1,51.8,47.47,44.27,40.45,0.8794185379453064,0.8084976881110074,3.06,9.2,5.3,soiling
2024-07-08 05:15:07.770123,PLANT_001,INV_002,STR_002_03,62.16,56.97,4.43,51.8,47.47,44.27,40.45,0.8884373553204704,0.8167891815043034,3.87,16.2,0.5,soiling
2024-07-08 05:15:07.770123,PLANT_001,INV_002,STR_002_04,62.16,56.97,8.29,51.8,47.47,44.27,40.45,1.24,1.14,4.43,33.9,4.4,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_002,STR_002_05,62.16,56.97,6.71,51.8,47.47,44.27,40.45,1.24,1.14,2.59,18.8,6.0,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_002,STR_002_06,62.16,56.97,4.1,51.8,47.47,44.27,40.45,1.24,1.14,2.44,36.0,1.1,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_002,STR_002_07,62.16,56.97,9.48,51.8,47.47,44.27,40.45,1.24,1.14,4.15,16.0,6.5,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_002,STR_002_08,62.16,56.97,5.05,51.8,47.47,44.27,40.45,1.24,1.14,4.38,24.2,4.3,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_003,STR_003_01,55.41,78.04,6.92,46.17,65.03,37.06,54.81,1.11,1.56,3.77,35.4,7.1,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_003,STR_003_02,55.41,78.04,8.69,46.17,65.03,37.06,54.81,1.11,1.56,4.51,10.0,0.8,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_003,STR_003_03,55.41,78.04,9.33,46.17,65.03,37.06,54.81,1.11,1.56,2.73,20.7,8.0,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_003,STR_003_04,55.41,78.04,10.76,46.17,65.03,37.06,54.81,1.11,1.56,4.85,36.6,4.9,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_003,STR_003_05,55.41,78.04,12.5,46.17,65.03,37.06,54.81,1.11,1.56,4.93,26.8,1.1,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_003,STR_003_06,0.0,0.0,9.24,46.17,65.03,37.06,54.81,1.11,1.56,3.52,21.3,5.1,inverter_shutdown
2024-07-08 05:15:07.770123,PLANT_001,INV_003,STR_003_07,55.41,78.04,4.44,46.17,65.03,37.06,54.81,1.11,1.56,2.91,28.5,0.4,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_003,STR_003_08,55.41,78.04,10.66,46.17,65.03,37.06,54.81,1.11,1.56,3.21,23.3,2.2,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_004,STR_004_01,52.96,61.95,7.95,44.13,51.62,36.56,42.85,1.06,1.24,3.75,20.7,0.2,nan
2024-07-08 05:15:07.770123,PLANT_001,INV_004,STR_004_02,52.96,61.95,8.7,44.13,51.62,36.56,42.85,1.06,1.24,2.96,22.4,0.5,nan
